lat,lon,alt,date,device,os,version
51.5085449219,-0.196021854877,27.6279315948,2017-02-07 18:42:08,"iPhone8,1",11.2.6,1
51.5133972168,-0.158319815993,26.0083904266,2017-02-07 18:52:48,"iPhone8,1",10.2.1,1.1
51.5133972168,-0.158319815993,26.0083904266,2017-02-07 18:52:48,"iPhone8,1",11.2.6,1
51.5173912048,-0.120357736945,28.9717025757,2017-02-07 18:57:04,"iPhone8,1",10.2.1,1.1
51.5173912048,-0.120357736945,28.9717025757,2017-02-07 18:57:04,"iPhone8,1",11.2.6,1
51.5273780823,-0.055478900671,14.2443675995,2017-02-07 19:07:44,"iPhone8,1",10.2.1,1.1
51.5273780823,-0.055478900671,14.2443675995,2017-02-07 19:07:44,"iPhone8,1",11.2.6,1
51.5318222046,-0.0568582825363,17.1840400696,2017-02-07 19:18:24,"iPhone8,1",10.2.1,1.1
51.5318222046,-0.0568582825363,17.1840400696,2017-02-07 19:18:24,"iPhone8,1",11.2.6,1
51.5362968445,-0.0549838617444,16.8028678894,2017-02-07 19:26:56,"iPhone8,1",10.2.1,1.1
51.5362968445,-0.0549838617444,16.8028678894,2017-02-07 19:26:56,"iPhone8,1",11.2.6,1
51.5377960205,-0.0413739979267,15.4430160522,2017-02-08 17:38:08,"iPhone8,1",10.2.1,1.1
51.5377960205,-0.0413739979267,15.4430160522,2017-02-08 17:38:08,"iPhone8,1",11.2.6,1
51.537399292,-0.0489373244345,16.1102313995,2017-02-08 18:12:16,"iPhone8,1",10.2.1,1.1
51.537399292,-0.0489373244345,16.1102313995,2017-02-08 18:12:16,"iPhone8,1",11.2.6,1
51.5373497009,-0.049086689949,16.292011261,2017-02-08 18:35:44,"iPhone8,1",10.2.1,1.1
51.5373497009,-0.049086689949,16.292011261,2017-02-08 18:35:44,"iPhone8,1",11.2.6,1
51.5387496948,-0.0499033369124,23.2105827332,2017-02-09 08:23:28,"iPhone8,1",10.2.1,1.1
51.5387496948,-0.0499033369124,23.2105827332,2017-02-09 08:23:28,"iPhone8,1",11.2.6,1
51.5427932739,-0.0446249544621,11,2017-02-09 09:42:24,"iPhone8,1",10.2.1,1.1
51.5427932739,-0.0446249544621,11,2017-02-09 09:42:24,"iPhone8,1",11.2.6,1
51.5432128906,-0.0126730483025,11,2017-02-09 09:50:56,"iPhone8,1",10.2.1,1.1
51.5432128906,-0.0126730483025,11,2017-02-09 09:50:56,"iPhone8,1",11.2.6,1
51.5449028015,-0.00884628668427,11,2017-02-09 10:08:00,"iPhone8,1",10.2.1,1.1
